Barnets	Barnets
.	$.

I	i
andre	andre
periode	periode
vises	vise
NHL-sjefen	NHL-sjefen
Gary	Gary
Bettman	Bettman
på	på
storskjermen	storskjermen
.	$.

Det	det
bues	bues
fra	fra
tribunen	tribun
,	$,
og	og
på	på
skjermen	skjerm
vises	vise
raskt	rask
noe	noe
annet	annen
.	$.

Bettman	Bettman
er	være
lite	lite
populær	populær
blant	blant
supporterne	supporterne
,	$,
ettersom	ettersom
mange	mange
mener	mene
han	han
hadde	ha
hele	hel
skylda	skylda
for	for
streiken	streiken
for	for
fem	fem
år	år
siden	siden
,	$,
og	og
at	at
han	han
ikke	ikke
alltid	alltid
vil	ville
sportens	sportens
beste	god
.	$.

Det	det
har	ha
tydeligvis	tydeligvis
svenskene	svenske
fått	få
med	med
seg	seg
.	$.

På	på
isen	is
har	ha
Ottawa	Ottawa
noe	noe
overraskende	overraske
gått	gå
opp	opp
til	til
2	2
-	$-
0	0
.	$.

Sidney	Sidney
Crosby	Crosby
er	være
forbanna	forbanna
over	over
at	at
Penguins	Penguins
ikke	ikke
har	ha
klart	klare
å	å
utlikne	utlikne
i	i
overtallsspillet	overtallsspillet
.	$.

Da	da
rekka	rekka
hans	hans
går	gå
av	av
isen	is
,	$,
slår	slå
han	han
kølla	kølla
flere	mange
ganger	gang
i	i
gulvet	gulv
og	og
kaster	kaste
den	den
fra	fra
seg	seg
bak	bak
benken	benk
.	$.

En	en
kar	kar
i	i
Penguins-troppen	Penguins-troppen
plukker	plukke
opp	opp
kølla	kølla
bak	bak
Crosby	Crosby
og	og
holder	holde
den	den
klar	klar
helt	hel
til	til
neste	neste
gang	gang
21-åringen	21-åring
skal	skulle
utpå	utpå
isen	is
.	$.

Like	like
etter	etter
,	$,
under	under
et	en
av	av
de	de
mange	mange
stoppene	stoppene
i	i
spillet	spill
,	$,
ruller	rulle
en	en
Reebok-reklame	Reebok-reklame
over	over
storskjermen	storskjermen
.	$.

Hovedperson	Hovedperson
:	$:

Sidney	Sidney
Crosby	Crosby
.	$.

Vi	vi
hører	høre
stemmen	stemme
hans	hans
mens	mens
han	han
går	gå
ut	ut
på	på
isen	is
der	der
oppe	oppe
på	på
skjermen	skjerm
:	$:

«	$"
The	The
uniform	uniform
says	says
a	a
lot	lot
about	about
you	you
,	$,
it	it
can	can
say	say
that	that
you've	you've
made	made
it	it
,	$,
or	or
that	that
you're	you're
on	on
your	your
way	way
.	$.
But	But
where	where
you	you
end	end
up	up
is	is
entirely	entirely
up	up
to	to
you	you
»	$"
.	$.

Kampen	kamp
ender	ende
3	3
-	$-
1	1
til	til
Senators	Senators
.	$.

Lagene	lag
vinner	vinne
altså	altså
én	én
kamp	kamp
hver	hver
på	på
to	to
dager	dag
.	$.

På	på
pressekonferansen	pressekonferanse
er	være
det	det
Senators'	Senators'
superstjerne	superstjerne
og	og
tomålsscorer	tomålsscorer
Dany	Dany
Heatley	Heatley
som	som
er	være
mannen	mann
i	i
fokus	fokus
.	$.

Like	like
etter	etter
får	få
svenskene	svenske
snakke	snakke
med	med
«	$"
sin	sin
egen	egen
»	$"
Daniel	Daniel
Alfredsson	Alfredsson
.	$.

Han	han
blir	bli
spurt	spørre
om	om
den	den
stående	stå
applausen	applausen
han	han
fikk	få
av	av
hjemmepublikummet	hjemmepublikummet
før	før
han	han
gikk	gå
av	av
isen	is
.	$.

-	$-
Det	det
var	være
fint	fin
.	$.

Da	da
vi	vi
ledet	lede
3	3
-	$-
0	0
mot	mot
slutten	slutt
,	$,
kunne	kunne
jeg	jeg
unne	unne
meg	jeg
noen	noen
sekunder	sekund
til	til
å	å
ta	ta
inn	inn
den	den
gode	god
atmosfæren	atmosfære
.	$.

Det	det
kommer	komme
jeg	jeg
aldri	aldri
til	til
å	å
glemme	glemme
.	$.

Like	like
etter	etter
treffer	treffe
vi	vi
NHL-direktøren	NHL-direktøren
Kenneth	Kenneth
Yaffe	Yaffe
på	på
nytt	ny
.	$.

-	$-
Er	være
du	du
fornøyd	fornøyd
med	med
at	at
dere	dere
valgte	velge
Stockholm	Stockholm
?	$?

-	$-
Absolutt	absolutt
.	$.

Vi	vi
solgte	selge
jo	jo
ut	ut
kampene	kamp
her	her
på	på
et	en
blunk	blunk
.	$.

Og	og
stemningen	stemning
har	ha
vært	være
fantastisk	fantastisk
.	$.

-	$-
Så	så
vi	vi
kan	kunne
regne	regne
med	med
å	å
se	se
NHL	NHL
i	i
Oslo	Oslo
om	om
ett	én
år	år
?	$?

-	$-
Ha-ha	Ha-ha
,	$,
Oslo	Oslo
?	$?

I	I
love	love
Oslo	Oslo
.	$.

Lene	Lene
Alexandra	Alexandra
med	med
lånte	låne
fjær	fjær
|	$|

Ikke	ikke
rart	rar
hun	hun
syns	synes
det	det
er	være
gøy	gøy
å	å
kle	kle
på	på
seg	seg
for	for
tida	tid
.	$.

Blikkfang	Blikkfang
:	$:

Diskré	Diskré
eleganse	eleganse
er	være
ikke	ikke
idealet	ideal
for	for
sportsdanskostymene	sportsdanskostymene
,	$,
spesielt	spesiell
ikke	ikke
i	i
latindans	latindans
.	$.

Her	her
prøver	prøve
meteorolog	meteorolog
Siri	Siri
Kalvig	Kalvig
en	en
påfuglkjole	påfuglkjole
til	til
neste	neste
«	$"
Skal	Skal
vi	vi
danse	danse
»	$"
-forestilling	-forestilling
.	$.

-	$-
Jeg	jeg
er	være
overrasket	overraske
over	over
at	at
jeg	jeg
synes	synes
det	det
er	være
så	så
gøy	gøy
med	med
alle	all
disse	disse
kostymene	kostyme
.	$.

Kanskje	kanskje
skyldes	skyldes
det	det
en	en
veldig	veldig
tidlig	tidlig
40-årskrise	40-årskrise
,	$,
sier	si
38-åringen	38-åring
.	$.

Dansedilla	Dansedilla
:	$:

Interessen	interesse
for	for
dans	dans
har	ha
økt	øke
merkbart	merkbar
etter	etter
flere	mange
år	år
med	med
dansekonkurranser	dansekonkurranser
på	på
tv	tv
.	$.

Her	her
henger	henge
den	den
:	$:

Lene	Lene
Alexandras	Alexandras
kjole	kjole
.	$.

Blingbling	Blingbling
:	$:

Det	det
spares	spares
ikke	ikke
på	på
effektene	effektene
i	i
kampen	kamp
om	om
å	å
vekke	vekke
oppsikt	oppsikt
på	på
dansegulvet	dansegulv
.	$.

Tålmodighetsarbeid	Tålmodighetsarbeid
:	$:

Sam	Sam
Brown	Brown
i	i
den	den
lille	liten
bedriften	bedrift
Chrisanne	Chrisanne
limer	limer
glitter	glitter
og	og
krystaller	krystaller
på	på
en	en
blå	blå
kjole	kjole
.	$.

Glamourfabrikken	Glamourfabrikken
:	$:

I	i
bedriften	bedrift
Chrisanne	Chrisanne
utenfor	utenfor
London	London
har	ha
syerne	syerne
hendene	hånd
fulle	full
med	med
å	å
forsyne	forsyne
dansere	dansere
verden	verden
over	over
med	med
mest	mye
mulig	mulig
oppsiktsvekkende	oppsiktsvekkende
antrekk	antrekk
.	$.

-	$-
Jo	jo
mer	mye
,	$,
jo	jo
bedre	god
.	$.

Målet	mål
er	være
å	å
skinne	skinne
mest	mye
mulig	mulig
og	og
vinne	vinne
alles	all
øyne	øye
på	på
dansegulvet	dansegulv
,	$,
sier	si
sjefdesigner	sjefdesigner
Seija	Seija
Niskanen	Niskanen
.	$.

-	$-
Når	når
jeg	jeg
hører	høre
musikken	musikk
,	$,
føler	føle
jeg	jeg
at	at
jeg	jeg
er	være
langt	lang
tilbake	tilbake
i	i
tid	tid
,	$,
sier	si
Lene	Lene
Alexandra	Alexandra
Øien	Øien
.	$.

Popartisten	Popartisten
og	og
den	den
tidligere	tidlig
glamourmodellen	glamourmodellen
holder	holde
en	en
lang	lang
,	$,
hvit	hvit
kjole	kjole
opp	opp
foran	foran
seg	seg
.	$.

Lampelyset	Lampelyset
på	på
kostymelageret	kostymelageret
i	i
studioet	studioet
i	i
Nydalen	Nydalen
fanger	fange
øyeblikkelig	øyeblikkelig
de	de
omtrent	omtrent
tjue	tjue
tusen	tusen
paljettene	paljettene
på	på
kjolen	kjolen
,	$,
så	så
den	den
glitrer	glitrer
som	som
en	en
diskokule	diskokule
.	$.

Kjolen	Kjolen
skal	skulle
Øien	Øien
ha	ha
på	på
seg	seg
når	når
hun	hun
skal	skulle
danse	danse
quickstep	quickstep
med	med
Tom	Tom
Arne	Arne
Nilsen	Nilsen
i	i
programmet	program
«	$"
Skal	Skal
vi	vi
danse	danse
»	$"
på	på
TV	TV
2	2
for	for
ca.	ca.
700	700
000	000
tv-seere	tv-seere
to	to
dager	dag
seinere	sein
.	$.

-	$-
Dette	dette
er	være
en	en
helt	hel
ny	ny
verden	verden
for	for
meg	jeg
,	$,
sier	si
Øien	Øien
.	$.

-	$-
Men	men
jeg	jeg
er	være
glad	glad
i	i
å	å
gå	gå
inn	inn
i	i
andre	annen
verdener	verden
,	$,
og	og
føler	føle
meg	jeg
veldig	veldig
fin	fin
i	i
kjolene	kjole
.	$.

Siri	Siri
Kalvig	Kalvig
,	$,
som	som
også	også
har	ha
kommet	komme
langt	lang
i	i
TV	TV
2s	2s
glitrende	glitrende
kjendisdans	kjendisdans
,	$,
har	ha
et	en
litt	litt
mer	mye
prosaisk	prosaisk
forhold	forhold
til	til
den	den
overdådige	overdådige
innpakningen	innpakningen
.	$.

-	$-
Jeg	jeg
tenker	tenke
at	at
vi	vi
kler	kler
oss	vi
ut	ut
,	$,
ikke	ikke
at	at
vi	vi
pynter	pynte
oss	vi
,	$,
sier	si
hun	hun
.	$.

-	$-
Men	men
jeg	jeg
er	være
overrasket	overraske
over	over
at	at
jeg	jeg
synes	synes
det	det
er	være
så	så
gøy	gøy
med	med
alle	all
disse	disse
kostymene	kostyme
.	$.

Kanskje	kanskje
skyldes	skyldes
det	det
en	en
veldig	veldig
tidlig	tidlig
førtiårskrise	førtiårskrise
,	$,
sier	si
meteorologen	meteorolog
,	$,
som	som
fyller	fylle
38	38
i	i
løpet	løp
av	av
konkurransen	konkurranse
.	$.

Ingen	ingen
steder	sted
i	i
verden	verden
sitter	sitte
paljettene	paljettene
tettere	tett
enn	enn
på	på
konkurransedansernes	konkurransedansernes
kjoler	kjole
.	$.

Idrettsgrenen	Idrettsgrenen
som	som
på	på
norsk	norsk
kalles	kalle
sportsdans	sportsdans
,	$,
har	ha
skapt	skape
en	en
klessjanger	klessjanger
som	som
går	gå
i	i
en	en
helt	hel
annen	annen
takt	takt
en	enn
motebildet	motebilde
for	for
øvrig	øvrig
,	$,
og	og
som	som
dyrker	dyrke
en	en
maksimalistisk	maksimalistisk
og	og
superpyntet	superpyntet
stil	stil
der	der
det	det
knapt	knapp
kan	kunne
bli	bli
for	for
mange	mange
fjær	fjær
eller	eller
glitrende	glitrende
steiner	stein
.	$.

Eller	eller
for	for
brune	brun
bein	bein
og	og
sminkete	sminkete
øyne	øye
.	$.

-	$-
Jo	jo
mer	mye
,	$,
jo	jo
bedre	god
.	$.

Målet	mål
er	være
å	å
skinne	skinne
mest	mye
mulig	mulig
og	og
få	få
oppmerksomhet	oppmerksomhet
,	$,
vinne	vinne
alles	all
øyne	øye
på	på
dansegulvet	dansegulv
,	$,
ikke	ikke
sant	sann
,	$,
sier	si
sjefdesigner	sjefdesigner
Seija	Seija
Niskanen	Niskanen
hos	hos
Chrisanne	Chrisanne
.	$.

I	i
den	den
lille	liten
engelske	engelsk
bedriften	bedrift
sør	sør
for	for
London	London
jobber	jobbe
65	65
mennesker	menneske
med	med
å	å
spre	spre
mest	mye
mulig	mulig
glitter	glitter
og	og
stas	stas
til	til
dansegulv	dansegulv
verden	verden
over	over
.	$.

Deriblant	Deriblant
kostymene	kostyme
til	til
«	$"
Skal	Skal
vi	vi
danse	danse
»	$"
for	for
fjerde	fjerde
året	år
på	på
rad	rad
,	$,
og	og
de	de
seks	seks
sesongene	sesongene
av	av
den	den
engelske	engelsk
versjonen	versjonen
«	$"
Strictly	Strictly
Come	Come
Dancing	Dancing
»	$"
på	på
BBC	BBC
.	$.

-	$-
Vi	vi
driver	drive
ikke	ikke
med	med
forskning	forskning
,	$,
dette	dette
er	være
glamourbusiness	glamourbusiness
.	$.

Vi	vi
vil	ville
ikke	ikke
ha	ha
det	det
normale	normal
.	$.

Vi	vi
vil	ville
bort	bort
fra	fra
grå	grå
,	$,
kjedelige	kjedelig
hverdager	hverdager
og	og
inn	inn
i	i
en	en
eventyrverden	eventyrverden
,	$,
der	der
alt	alt
handler	handle
om	om
å	å
forsterke	forsterke
det	det
vakre	vakker
og	og
gi	gi
inspirasjon	inspirasjon
.	$.

Det	det
skal	skulle
føles	føles
som	som
å	å
ta	ta
på	på
deg	du
kjolen	kjolen
på	på
bryllupsdagen	bryllupsdagen
,	$,
sier	si
Niskanen	Niskanen
,	$,
som	som
legger	legge
til	til
:	$:

-	$-
Men	men
de	de
perfekte	perfekt
kostymene	kostyme
er	være
ikke	ikke
bare	bare
vakre	vakker
.	$.

De	de
må	måtte
også	også
være	være
behagelige	behagelige
å	å
ha	ha
på	på
seg	seg
og	og
vise	vise
kroppens	kropp
bevegelser	bevegelser
best	god
mulig	mulig
.	$.

Det	det
er	være
viktig	viktig
at	at
de	de
som	som
har	ha
dem	de
på	på
seg	seg
er	være
komfortable	komfortabel
,	$,
ellers	ellers
klarer	klare
de	de
ikke	ikke
gi	gi
alt	alt
på	på
dansegulvet	dansegulv
.	$.

Det	det
har	ha
ikke	ikke
alltid	alltid
handlet	handle
om	om
glitter	glitter
og	og
glamour	glamour
.	$.

Trine	Trine
Dehli	Dehli
Cleve	Cleve
,	$,
som	som
er	være
dommer	dommer
i	i
«	$"
Skal	Skal
vi	vi
danse	danse
»	$"
og	og
kan	kunne
skilte	skille
med	med
fire	fire
VM-gull	VM-gull
og	og
fem	fem
EM-gull	EM-gull
i	i
konkurransedans	konkurransedans
,	$,
husker	huske
at	at
det	det
var	være
enklere	enkel
kjoler	kjole
som	som
dominerte	dominere
da	da
hun	hun
selv	selv
begynte	begynne
å	å
danse	danse
på	på
70-tallet	70-tall
.	$.

-	$-
Mine	min
første	første
kjoler	kjole
var	være
i	i
tyll	tyll
.	$.

Så	så
kom	komme
det	det
mer	mye
paljetter	paljetter
,	$,
så	så
fjær	fjær
,	$,
så	så
rhin-steiner	rhin-steiner
.	$.

Med	med
åra	år
har	ha
dessuten	dessuten
skinnende	skinne
steiner	stein
og	og
stoffer	stoff
blitt	bli
lettere	lett
tilgjengelige	tilgjengelig
,	$,
og	og
danseverdenen	danseverdenen
har	ha
tiltrukket	tiltrukket
seg	seg
flere	mange
kreative	kreativ
og	og
kunstneriske	kunstnerisk
mennesker	menneske
,	$,
sier	si
hun	hun
.	$.

Grethe	Grethe
Andersen	Andersen
,	$,
som	som
er	være
spesialkonsulent	spesialkonsulent
i	i
Norsk	Norsk
danseforbund	danseforbund
samt	samt
trener	trener
og	og
internasjonal	internasjonal
dommer	dommer
,	$,
mener	mene
også	også
sportsdansstilen	sportsdansstilen
er	være
blitt	bli
mer	mye
overlesset	overlesset
med	med
åra	år
.	$.

-	$-
Det	det
er	være
én	én
fjær	fjær
som	som
er	være
blitt	bli
til	til
en	en
hønsegård	hønsegård
,	$,
sier	si
hun	hun
.	$.

-	$-
Samtidig	samtidig
finnes	finnes
det	det
regler	regel
for	for
hva	hva
man	man
kan	kunne
ha	ha
på	på
seg	seg
og	og
ikke	ikke
.	$.

Det	det
var	være
en	en
periode	periode
for	for
noen	noen
år	år
siden	siden
hvor	hvor
kostymene	kostyme
var	være
ganske	ganske
utfordrende	utfordrende
.	$.

Da	da
måtte	måtte
det	det
litt	litt
anstendighet	anstendighet
til	til
,	$,
og	og
vi	vi
fikk	få
nye	ny
regler	regel
,	$,
sier	si
hun	hun
.	$.

I	i
de	de
internasjonale	internasjonal
reglene	regel
står	stå
det	det
blant	blant
annet	annen
at	at
«	$"
the	the
buttocks	buttocks
must	must
be	be
covered	covered
at	at
all	all
times	times
»	$"
.	$.

Og	og
en	en
del	del
annet	annen
godt	god
bondevett	bondevett
,	$,
som	som
Andersen	Andersen
sier	si
.	$.

Det	det
var	være
på	på
20-tallet	20-tallet
engelskmennene	engelskmennene
begynte	begynne
å	å
standardisere	standardisere
selskapsdanser	selskapsdanser
i	i
konkurranseøyemed	konkurranseøyemed
.	$.

Gjennom	gjennom
20-	20-
og	og
30-tallet	30-tallet
oppsto	oppstå
dermed	dermed
de	de
såkalte	såkalt
«	$"
standarddansene	standarddansene
»	$"
,	$,
vals	vals
,	$,
tango	tango
,	$,
wienervals	wienervals
,	$,
slowfox	slowfox
og	og
quickstep	quickstep
,	$,
i	i
sine	sin
moderne	moderne
former	form
.	$.

Først	først
på	på
60-tallet	60-tall
gjorde	gjøre
«	$"
latindansene	latindansene
»	$"
,	$,
cha-cha-cha	cha-cha-cha
,	$,
samba	samba
,	$,
rumba	rumba
,	$,
paso	paso
doble	doble
og	og
jive	jive
,	$,
sitt	sin
inntog	inntog
i	i
internasjonal	internasjonal
konkurransedans	konkurransedans
.	$.

Så	så
kom	komme
70-tallet	70-tall
,	$,
og	og
verden	verden
forandret	forandre
seg	seg
.	$.

-	$-
Da	da
kom	komme
John	John
Travolta	Travolta
,	$,
dansegulvene	dansegulvene
ble	bli
små	liten
,	$,
og	og
det	det
ble	bli
vanlig	vanlig
å	å
danse	danse
hver	hver
for	for
seg	seg
,	$,
forteller	fortelle
Grethe	Grethe
Andersen	Andersen
.	$.

At	at
dansemoten	dansemoten
skiftet	skifte
var	være
med	med
å	å
gjøre	gjøre
den	den
klassiske	klassisk
konkurransedansen	konkurransedansen
til	til
en	en
nisje	nisje
.	$.

Fremdeles	fremdeles
skiller	skille
idretten	idrett
seg	seg
ut	ut
ved	ved
sine	sin
sterke	sterk
bånd	bånd
til	til
fortida	fortida
.	$.

-	$-
Standarddansene	Standarddansene
danses	danses
i	i
lengre	lang
kjoler	kjole
,	$,
forteller	fortelle
Trine	Trine
Dehli	Dehli
Cleve	Cleve
.	$.

-	$-
Der	der
understreker	understreke
vi	vi
opprinnelsen	opprinnelsen
til	til
dansene	dansene
og	og
arven	arv
fra	fra
dansere	dansere
som	som
Fred	Fred
Astaire	Astaire
og	og
Ginger	Ginger
Rogers	Rogers
.	$.

Latindansen	Latindansen
er	være
råere	råere
,	$,
der	der
har	ha
grensene	grense
flyttet	flytte
seg	seg
og	og
kjolene	kjole
blitt	bli
stadig	stadig
mindre	liten
.	$.

Kostymene	Kostymene
er	være
mye	mye
teater	teater
.	$.

-	$-
Men	men
motene	motene
skifter	skifte
også	også
her	her
,	$,
sier	si
Grethe	Grethe
Andersen	Andersen
.	$.

-	$-
Standardkjolene	Standardkjolene
så	se
før	før
mest	mye
ut	ut
som	som
pudderkvaster	pudderkvaster
i	i
tyll	tyll
.	$.

Nå	nå
er	være
de	de
lengre	lang
og	og
friere	fri
med	med
kapper	kapper
og	og
volanger	volanger
.	$.

Og	og
boaene	boaene
som	som
fantes	finnes
på	på
hver	hver
kjole	kjole
for	for
noen	noen
år	år
siden	siden
,	$,
er	være
ikke	ikke
å	å
se	se
i	i
det	det
hele	hel
tatt	ta
i	i
dag	dag
,	$,
sier	si
hun	hun
.	$.

Men	men
dansemotene	dansemotene
er	være
ennå	ennå
et	en
godt	god
stykke	stykke
unna	unna
motebildet	motebilde
for	for
øvrig	øvrig
.	$.

-	$-
Det	det
finnes	finnes
noen	noen
elementer	element
fra	fra
dansesjangeren	dansesjangeren
i	i
motebildet	motebilde
også	også
,	$,
som	som
paljetter	paljetter
,	$,
chiffon	chiffon
og	og
dramatiske	dramatisk
juvelfarger	juvelfarger
,	$,
sier	si
motejournalist	motejournalist
i	i
Elle	Elle
,	$,
Anja	Anja
Stang	Stang
.	$.

-	$-
Men	men
der	der
moten	mote
søker	søke
balanse	balanse
,	$,
virker	virke
det	det
som	som
om	om
det	det
er	være
«	$"
more	more
is	is
more	more
»	$"
som	som
gjelder	gjelde
for	for
danserne	danserne
.	$.

Enten	enten
vet	vite
de	de
ikke	ikke
helt	hel
hvor	hvor
de	de
skal	skulle
stoppe	stoppe
,	$,
eller	eller
så	så
bryr	bry
de	de
seg	seg
rett	rett
og	og
slett	slett
ikke	ikke
om	om
det	det
.	$.

Jeg	jeg
tror	tro
nok	nok
heller	heller
det	det
er	være
det	det
siste	sist
,	$,
sier	si
Stang	Stang
,	$,
som	som
synes	synes
stilen	stilen
er	være
morsom	morsom
i	i
sin	sin
egenart	egenart
.	$.

-	$-
Det	det
er	være
som	som
om	om
de	de
lever	leve
i	i
sin	sin
egen	egen
boble	boble
,	$,
og	og
har	ha
framdyrket	framdyrket
sitt	sin
eget	egen
svært	svær
feminine	feminin
uttrykk	uttrykk
.	$.

Mote	mote
er	være
det	det
kanskje	kanskje
ikke	ikke
,	$,
men	men
det	det
er	være
mye	mye
danseglede	danseglede
,	$,
sier	si
Stang	Stang
.	$.

Kostymeansvarlig	Kostymeansvarlig
i	i
«	$"
Skal	Skal
vi	vi
danse	danse
»	$"
,	$,
Hanne	Hanne
Lein	Lein
,	$,
piller	piller
på	på
kjolen	kjolen
til	til
Lene	Lene
Alexandra	Alexandra
.	$.

Hun	hun
er	være
ansvarlig	ansvarlig
for	for
kjøp	kjøp
,	$,
leie	leie
,	$,
sying	sying
og	og
eventuell	eventuell
omsying	omsying
av	av
kostymene	kostyme
som	som
hver	hver
fredag	fredag
virvler	virvler
rundt	rundt
under	under
lyskasterne	lyskasterne
på	på
parketten	parketten
i	i
TV-studioet	TV-studioet
.	$.

Da	da
forventes	forvente
det	det
klær	klær
som	som
er	være
så	så
fjernt	fjern
fra	fra
en	en
vanlig	vanlig
mandag	mandag
på	på
kontoret	kontor
som	som
overhodet	overhodet
mulig	mulig
.	$.

Gjerne	gjerne
i	i
knallrosa	knallrosa
,	$,
sitrongult	sitrongult
og	og
neongrønt	neongrønt
.	$.

Og	og
helst	helst
intrikate	intrikat
mønstre	mønster
med	med
paljetter	paljetter
og	og
sølvtråder	sølvtråder
og	og
halebusker	halebusker
av	av
fjær	fjær
.	$.

72	72
kjoler	kjole
går	gå
med	med
hver	hver
sesong	sesong
.	$.

I	i
tillegg	tillegg
til	til
å	å
reise	reise
til	til
London	London
for	for
å	å
kjøpe	kjøpe
kjoler	kjole
og	og
sy	sy
om	om
slep	slep
og	og
bodyer	bodyer
så	så
de	de
passer	passe
deltakerne	deltaker
,	$,
må	måtte
Lein	Lein
ikke	ikke
sjelden	sjelden
berolige	berolige
smånervøse	smånervøse
deltakere	deltaker
.	$.

-	$-
Spørsmålet	spørsmål
«	$"
Skal	skulle
jeg	jeg
ha	ha
på	på
meg	jeg
det	det
der	der
?	$?
»	$"
får	få
jeg	jeg
ofte	ofte
i	i
begynnelsen	begynnelse
,	$,
forteller	fortelle
hun	hun
og	og
ler	le
.	$.

-	$-
Særlig	særlig
fra	fra
sportsguttene	sportsguttene
.	$.

Tore	Tore
André	André
Flo	Flo
var	være
først	først
ganske	ganske
skeptisk	skeptisk
til	til
paljettskjortene	paljettskjortene
.	$.

Nå	nå
skjønner	skjønne
han	han
at	at
det	det
er	være
en	en
sport	sport
og	og
en	en
rolle	rolle
,	$,
og	og
er	være
med	med
på	på
både	både
gjennomsiktige	gjennomsiktige
skjorter	skjorte
og	og
boleroer	boleroer
.	$.

Lein	Lein
har	ha
jobbet	jobbe
med	med
alle	all
fire	fire
sesongene	sesongene
av	av
«	$"
Skal	Skal
vi	vi
danse	danse
»	$"
.	$.

-	$-
Vi	vi
må	måtte
tenke	tenke
på	på
personligheten	personlighet
til	til
deltakerne	deltaker
,	$,
hva	hva
de	de
skal	skulle
danse	danse
og	og
hvilken	hvilken
historie	historie
de	de
skal	skulle
fortelle	fortelle
når	når
vi	vi
setter	sette
sammen	sammen
kostymene	kostyme
.	$.

Klærne	Klærne
skal	skulle
synes	synes
på	på
gulvet	gulv
og	og
understreke	understreke
bevegelsene	bevegelsene
.	$.

Og	og
det	det
er	være
mye	mye
estetikk	estetikk
i	i
bunnen	bunn
,	$,
selv	selv
om	om
det	det
kan	kunne
være	være
grelt	grelt
.	$.

TV-dansen	TV-dansen
skiller	skille
seg	seg
likevel	likevel
en	en
del	del
ut	ut
fra	fra
sportsdansen	sportsdansen
.	$.

-	$-
Det	det
er	være
nok	nok
lagt	legge
til	til
elementer	element
i	i
showet	show
for	for
å	å
gjøre	gjøre
det	det
glamorøst	glamorøst
og	og
interessant	interessant
,	$,
sier	si
Grethe	Grethe
Andersen	Andersen
.	$.

-	$-
Det	det
gjelder	gjelde
både	både
kostymene	kostyme
og	og
det	det
at	at
de	de
løfter	løfte
hverandre	hverandre
,	$,
noe	noe
som	som
ikke	ikke
er	være
lov	lov
i	i
konkurranser	konkurranse
.	$.

Det	det
er	være
mer	mye
moderat	moderat
i	i
virkeligheten	virkelighet
.	$.

Ellers	ellers
minner	minne
programmet	program
i	i
stor	stor
grad	grad
om	om
sportsdanskonkurranser	sportsdanskonkurranser
,	$,
og	og
trinnene	trinn
og	og
musikken	musikk
er	være
de	de
samme	samme
.	$.

Foran	foran
symaskinen	symaskinen
sitter	sitte
25	25
år	år
gamle	gammel
Nadya	Nadya
Khamitskaya	Khamitskaya
i	i
jeans	jeans
og	og
hettegenser	hettegenser
.	$.

Et	en
hav	hav
av	av
rødt	rød
og	og
svart	svart
stoff	stoff
,	$,
tett	tett
besydd	besydd
med	med
paljetter	paljetter
,	$,
ligger	ligge
foran	foran
henne	hun
.	$.

Det	det
norske	norsk
tv-publikummet	tv-publikummet
har	ha
nesten	nesten
utelukkende	utelukkende
sett	se
Khamitskaya	Khamitskaya
pyntet	pynte
til	til
tennene	tennene
når	når
hun	hun
danser	danse
med	med
Tore	Tore
André	André
Flo	Flo
hver	hver
fredag	fredag
kveld	kveld
.	$.

Men	men
den	den
hviterussiske	hviterussiske
danseren	danseren
som	som
kom	komme
til	til
Norge	Norge
i	i
2000	2000
for	for
å	å
jobbe	jobbe
med	med
sin	sin
norske	norsk
partner	partner
,	$,
syr	syr
også	også
sine	sin
egne	egen
kostymer	kostymer
.	$.

Mange	mange
av	av
dem	de
har	ha
hun	hun
,	$,
med	med
kostymeansvarlig	kostymeansvarlig
Hanne	Hanne
Leins	Leins
velsignelse	velsignelse
,	$,
brukt	bruke
i	i
«	$"
Skal	Skal
vi	vi
danse	danse
»	$"
.	$.

-	$-
Denne	Denne
har	ha
kostet	koste
meg	jeg
ti	ti
tusen	tusen
kroner	krone
,	$,
sier	si
hun	hun
om	om
den	den
røde	rød
kjolen	kjolen
hun	hun
håper	håpe
å	å
få	få
danse	danse
tango	tango
i	i
før	før
programmet	program
er	være
over	over
.	$.

-	$-
Stoffet	Stoffet
er	være
dyrt	dyr
,	$,
og	og
så	så
er	være
den	den
dekket	dekke
av	av
Swarowski-krystaller	Swarowski-krystaller
.	$.

Det	det
koster	koste
,	$,
men	men
ingenting	ingenting
glitrer	glitrer
så	så
bra	bra
som	som
Swarowski-steiner	Swarowski-steiner
.	$.

Og	og
ti	ti
tusen	tusen
kroner	krone
er	være
ikke	ikke
så	så
mye	mye
sammenliknet	sammenlikne
med	med
kjolene	kjole
til	til
de	de
beste	god
danserne	danserne
i	i
England	England
.	$.

De	de
koster	koste
fort	fort
tjue	tjue
tusen	tusen
.	$.

Kjolen	Kjolen
har	ha
et	en
fossende	fossende
rødt	rød
skjørt	skjørt
med	med
kapper	kapper
og	og
røde	rød
og	og
grønne	grønn
blader	blader
på	på
overkroppen	overkroppen
.	$.

-	$-
Jeg	jeg
hadde	ha
en	en
idé	idé
om	om
at	at
jeg	jeg
skulle	skulle
være	være
