penger	penge
som	som
brukes	bruke
i	i
det	det
amerikanske	amerikansk
militæret	militær
,	$,
sier	si
Mortensen	Mortensen
.	$.

Det	det
at	at
Breivik	Breivik
brukte	bruke
et	en
spill	spill
som	som
«	$"
Modern	Modern
Warfare	Warfare
»	$"
som	som
voldsplattform	voldsplattform
,	$,
mener	mene
forskeren	forsker
nettopp	nettopp
illustrerer	illustrere
at	at
det	det
ikke	ikke
er	være
voldsspillet	voldsspillet
i	i
seg	seg
selv	selv
som	som
gjør	gjøre
spilleren	spiller
i	i
stand	stand
til	til
å	å
utføre	utføre
voldelige	voldelig
handlinger	handling
i	i
virkeligheten	virkelighet
.	$.

-	$-
Alt	all
det	det
han	han
gjorde	gjøre
var	være
totalt	total
målrettet	målrettet
,	$,
det	det
ble	bli
brukt	bruke
for	for
å	å
rette	rette
seg	seg
inn	inn
mot	mot
en	en
handling	handling
.	$.

For	for
et	en
menneske	menneske
som	som
føler	føle
et	en
slags	slags
behov	behov
for	for
å	å
rette	rette
livet	liv
sitt	sin
i	i
en	en
retning	retning
,	$,
betyr	bety
det	det
ikke	ikke
at	at
det	det
er	være
teknologien	teknologi
som	som
fører	føre
en	en
dit	dit
.	$.

Det	det
er	være
ofte	ofte
ikke	ikke
er	være
spillet	spill
de	de
er	være
interessert	interessere
i	i
,	$,
det	det
er	være
volden	vold
,	$,
sier	si
hun	hun
.	$.

Moral	moral
og	og
intellekt	intellekt
|	$|

Doktorgradskandidat	Doktorgradskandidat
i	i
sosiologi	sosiologi
Jan	Jan
Frode	Frode
Haugseth	Haugseth
tror	tro
også	også
synet	syn
at	at
dataspill	dataspill
har	ha
en	en
negativ	negativ
påvirkningskraft	påvirkningskraft
på	på
spillerne	spiller
er	være
for	for
enkelt	enkel
.	$.

-	$-
Det	det
forutsetter	forutsette
i	i
så	så
fall	fall
at	at
menneskene	menneske
er	være
helt	hel
mekaniske	mekaniske
.	$.

Vi	vi
har	ha
et	en
intellekt	intellekt
vi	vi
behandler	behandle
alle	all
medier	medium
med	med
,	$,
som	som
vi	vi
forstår	forstå
kognitivt	kognitivt
og	og
oversetter	oversetter
via	via
en	en
slags	slags
moral	moral
.	$.

Det	det
gjelder	gjelde
ikke	ikke
minst	liten
måten	måte
vi	vi
møter	møte
verdisystemene	verdisystemene
i	i
dataspill	dataspill
på	på
,	$,
sier	si
han	han
.	$.

Thriller	Thriller
|	$|

Dagens	Dagens
leder	leder
|	$|

Kommunevalgkampen	Kommunevalgkampen
er	være
i	i
ferd	ferd
med	med
å	å
utvikle	utvikle
seg	seg
til	til
en	en
thriller	thriller
,	$,
der	der
det	det
store	stor
spørsmålet	spørsmål
er	være
hvor	hvor
store	stor
sårskader	sårskader
Senterpartiet	Senterpartiet
og	og
SV	Sv
har	ha
pådratt	pådratt
seg	seg
i	i
den	den
rødgrønne	rødgrønn
koalisjonen	koalisjon
.	$.

En	en
sammenstilling	sammenstilling
av	av
alle	all
kommunevalgmålinger	kommunevalgmålinger
på	på
nettstedet	nettsted
Poll	Poll
of	of
polls	polls
viser	vise
at	at
SV	Sv
i	i
gjennomsnitt	gjennomsnitt
har	ha
en	en
oppslutning	oppslutning
på	på
4,5	4,5
prosent	prosent
,	$,
en	en
tilbakegang	tilbakegang
på	på
1,7	1,7
prosentpoeng	prosentpoeng
fra	fra
forrige	forrige
lokalvalg	lokalvalg
.	$.

Sp	Sp
får	få
6,5	6,5
prosent	prosent
,	$,
et	en
fall	fall
på	på
1,7	1,7
prosentpoeng	prosentpoeng
.	$.

Til	til
Dagens	Dagens
Næringsliv	Næringsliv
sier	si
valgforsker	valgforsker
Bernt	Bernt
Aardal	Aardal
at	at
SV	Sv
«	$"
ligger	ligge
forferdelig	forferdelig
dårlig	dårlig
an	an
»	$"
,	$,
ikke	ikke
minst	liten
fordi	fordi
partiet	parti
sjelden	sjelden
klarer	klare
å	å
mobilisere	mobilisere
velgere	velger
i	i
innspurten	innspurt
av	av
valgkamper	valgkamper
.	$.

Ved	ved
de	de
siste	sist
fem	fem
stortingsvalgene	stortingsvalgene
var	være
det	det
bare	bare
i	i
2001	2001
SV	Sv
klarte	klare
å	å
øke	øke
oppslutningen	oppslutning
i	i
løpet	løp
av	av
valgkampen	valgkamp
.	$.

Arbeiderpartiet	Arbeiderpartiet
har	ha
vært	være
på	på
offensiven	offensiv
på	på
de	de
fleste	mange
målinger	måling
etter	etter
terrorangrepet	terrorangrepet
22.	22.
juli	juli
.	$.

I	i
gjennomsnitt	gjennomsnitt
har	ha
partiet	parti
nå	nå
en	en
oppslutning	oppslutning
på	på
31,2	31,2
prosent	prosent
,	$,
en	en
vekst	vekst
på	på
1,6	1,6
prosentpoeng	prosentpoeng
fra	fra
forrige	forrige
lokalvalg	lokalvalg
.	$.

På	på
flere	mange
målinger	måling
har	ha
det	det
sett	se
ut	ut
som	som
høyrebølgen	høyrebølgen
var	være
stoppet	stoppe
opp	opp
.	$.

Men	men
kommunemålingene	kommunemålingene
viser	vise
at	at
Høyre	Høyre
ser	se
ut	ut
til	til
å	å
holde	holde
seg	seg
rimelig	rimelig
godt	god
,	$,
med	med
en	en
oppslutning	oppslutning
på	på
hele	hel
26,1	26,1
prosent	prosent
.	$.

Det	det
betyr	bety
at	at
partiet	parti
ligger	ligge
an	an
til	til
en	en
økning	økning
fra	fra
2007-valget	2007-valget
på	på
hele	hel
6,8	6,8
prosent	prosent
.	$.

Det	det
betyr	bety
svært	svær
mange	mange
nye	ny
kommune-	kommune-
og	og
fylkestingsrepresentanter	fylkestingsrepresentanter
og	og
flere	mange
ordførere	ordfører
.	$.

Kristelig	Kristelig
Folkeparti	Folkeparti
og	og
Venstre	Venstre
ligger	ligge
begge	begge
på	på
i	i
overkant	overkant
av	av
fem	fem
prosent	prosent
,	$,
en	en
svak	svak
tilbakegang	tilbakegang
for	for
begge	begge
.	$.

Frp	Frp
har	ha
på	på
sin	sin
side	side
en	en
oppslutning	oppslutning
på	på
14,7	14,7
prosent	prosent
,	$,
en	en
svekkelse	svekkelse
på	på
2,8	2,8
prosentpoeng	prosentpoeng
fra	fra
forrige	forrige
lokalvalg	lokalvalg
.	$.

Terrorangrepet	terrorangrep
ser	se
ikke	ikke
ut	ut
til	til
i	i
seg	seg
selv	selv
å	å
ha	ha
svekket	svekke
partiet	parti
.	$.

Frp	Frp
mistet	miste
svært	svær
mange	mange
velgere	velger
i	i
vår	vår
,	$,
men	men
har	ha
faktisk	faktisk
holdt	holde
seg	seg
godt	god
i	i
august	august
.	$.

Et	en
typisk	typisk
uttrykk	uttrykk
for	for
de	de
generelle	generell
tendensene	tendensene
er	være
Tysnes	Tysnes
kommune	kommune
i	i
Sunnhordland	Sunnhordland
,	$,
der	der
Høyre	Høyre
på	på
den	den
siste	sist
målingen	målingen
for	for
avisa	avis
Sunnhordland	Sunnhordland
ligger	ligge
an	an
til	til
å	å
bli	bli
største	stor
parti	parti
for	for
første	første
gang	gang
siden	siden
1983	1983
.	$.

De	de
siste	sist
28	28
årene	år
har	ha
KrF	KrF
og	og
Senterpartiet	Senterpartiet
hatt	ha
ordføreren	ordføreren
,	$,
men	men
begge	begge
disse	disse
partiene	parti
ser	se
ut	ut
til	til
å	å
gå	gå
tilbake	tilbake
.	$.

I	i
Tysnes	Tysnes
ser	se
for	for
øvrig	øvrig
både	både
Ap	Ap
og	og
Frp	Frp
ut	ut
til	til
å	å
styrke	styrke
seg	seg
ved	ved
dette	dette
valget	valg
.	$.

På	på
landsbasis	landsbasis
kan	kunne
Høyre	Høyre
være	være
i	i
ferd	ferd
med	med
å	å
gjøre	gjøre
sitt	sin
beste	god
valg	valg
på	på
svært	svær
lenge	lenge
.	$.

Bare	bare
Ap	Ap
av	av
de	de
andre	annen
partiene	parti
ligger	ligge
an	an
til	til
å	å
øke	øke
.	$.

Vil	ville
dele	dele
makta	makt
med	med
KrF	KrF
|	$|

Åpen	Åpen
:	$:

LO-leder	LO-leder
Roar	Roar
Flåthen	Flåthen
åpner	åpne
nå	nå
for	for
å	å
ta	ta
KrF	KrF
inn	inn
i	i
den	den
rødgrønne	rødgrønn
varmen	varme
-	$-
dersom	dersom
Knut	Knut
Arild	Arild
Hareide	Hareide
vil	ville
.	$.

åpner	åpne
opp	opp
:	$:

LO-leder	LO-leder
Roar	Roar
Flaathen	Flaathen
ser	se
på	på
KrF	KrF
som	som
en	en
naturlig	naturlig
samarbeids	samarbeids
partner	partner
i	i
kampen	kamp
mot	mot
privatisering	privatisering
.	$.

Venstre	Venstre
har	ha
han	han
mindre	liten
tro	tro
på	på
i	i
denne	denne
saken	sak
.	$.

Som	som
første	første
LO-leder	LO-leder
åpner	åpne
nå	nå
Flåthen	Flåthen
for	for
samarbeid	samarbeid
mellom	mellom
de	de
rødgrønne	rødgrønn
og	og
KrF.	KrF.
.	$.

Forgjengerne	forgjenger
Gerd-Liv	Gerd-Liv
Valla	Valla
og	og
Yngve	Yngve
Hågensen	Hågensen
var	være
i	i
sin	sin
tid	tid
pådrivere	pådriver
for	for
det	det
rødgrønne	rødgrønn
samarbeidet	samarbeid
.	$.

Nå	nå
håper	håpe
Flåthen	Flåthen
på	på
å	å
utvide	utvide
samarbeidet	samarbeid
ytterligere	ytterligere
-	$-
på	på
én	én
betingelse	betingelse
:	$:

-	$-
Det	det
avgjørende	avgjørende
spørsmålet	spørsmål
for	for
oss	vi
er	være
å	å
hindre	hindre
privatisering	privatisering
og	og
konkurranseutsetting	konkurranseutsetting
ute	ute
i	i
Kommune-Norge	Kommune-Norge
.	$.

Der	der
opplever	oppleve
jeg	jeg
KrF	KrF
som	som
et	en
av	av
de	de
mest	mye
naturlige	naturlig
partiene	parti
å	å
samarbeide	samarbeide
med	med
,	$,
sier	si
han	han
.	$.

Og	og
LO-lederen	LO-lederen
er	være
ikke	ikke
fremmed	fremmed
for	for
at	at
partiet	parti
kan	kunne
ta	ta
plass	plass
i	i
den	den
rødgrønne	rødgrønn
regjeringen	regjering
etter	etter
2013	2013
.	$.

Lukker	Lukker
døra	dør
for	for
Venstre	Venstre
|	$|

-	$-
Det	det
er	være
opp	opp
til	til
Knut	Knut
Arild	Arild
Hareide	Hareide
,	$,
og	og
hvor	hvor
han	han
vil	ville
sette	sette
beina	bein
.	$.

Jeg	jeg
opplever	oppleve
ham	han
som	som
en	en
mann	mann
med	med
et	en
sosialt	sosial
blikk	blikk
,	$,
som	som
er	være
enig	enig
med	med
LO	LO
i	i
mange	mange
avgjørende	avgjørende
spørsmål	spørsmål
.	$.

Sentrale	Sentrale
Ap-politikere	Ap-politiker
som	som
Trond	Trond
Giske	Giske
og	og
Jonas	Jonas
Gahr	Gahr
Støre	Støre
har	ha
lenge	lenge
flørtet	flørte
med	med
tanken	tanke
om	om
å	å
ta	ta
KrF	KrF
inn	inn
i	i
den	den
rødgrønne	rødgrønn
alliansen	allianse
for	for
å	å
isolere	isolere
Høyre	Høyre
og	og
Frp	Frp
politisk	politisk
.	$.

Men	men
hittil	hittil
har	ha
SV	Sv
satt	sette
foten	fot
ned	ned
.	$.

Nå	nå
er	være
imidlertid	imidlertid
partiet	parti
på	på
gli	gli
,	$,
og	og
i	i
Klassekampen	klassekamp
tirsdag	tirsdag
åpnet	åpne
SV	Sv
for	for
første	første
gang	gang
for	for
å	å
ta	ta
KrF	KrF
inn	inn
i	i
varmen	varme
i	i
det	det
rødgrønne	rødgrønn
utstillingsvinduet	utstillingsvinduet
Trondheim	Trondheim
.	$.

Mens	mens
de	de
rødgrønne	rødgrønn
frir	fri
uhemmet	uhemmet
til	til
KrF	KrF
,	$,
beveger	bevege
Venstre	Venstre
seg	seg
stadig	stadig
nærmere	nær
Høyre	Høyre
og	og
Frp.	Frp.
.	$.

Partiet	parti
inngår	inngå
nå	nå
i	i
et	en
forpliktende	forpliktende
samarbeid	samarbeid
med	med
Frp	Frp
i	i
syv	syv
av	av
landets	land
ti	ti
største	stor
kommuner	kommune
.	$.

Overfor	overfor
Klassekampen	klassekamp
slår	slå
Roar	Roar
Flåthen	Flåthen
fast	fast
at	at
det	det
ikke	ikke
er	være
aktuelt	aktuell
for	for
LO	LO
å	å
åpne	åpne
for	for
noe	noe
samarbeid	samarbeid
med	med
Venstre	Venstre
.	$.

-	$-
Jeg	jeg
opplever	oppleve
at	at
Venstre	Venstre
ikke	ikke
er	være
like	like
tydelige	tydelig
på	på
mange	mange
områder	område
som	som
er	være
viktige	viktig
for	for
oss	vi
.	$.

Ikke	ikke
minst	liten
gjelder	gjelde
dette	dette
synet	syn
på	på
privatisering	privatisering
,	$,
sier	si
han	han
.	$.

Flåthen	Flåthen
understreker	understreke
at	at
spørsmålet	spørsmål
om	om
samarbeid	samarbeid
er	være
lokalt	lokal
betinget	betinge
,	$,
og	og
at	at
det	det
er	være
store	stor
lokale	lokal
variasjoner	variasjon
i	i
hvilke	hvilken
partier	parti
de	de
rødgrønne	rødgrønn
bør	burde
samarbeide	samarbeide
med	med
.	$.

-	$-
Det	det
avgjørende	avgjørende
er	være
naturligvis	naturligvis
hvilken	hvilken
politisk	politisk
kurs	kurs
et	en
slikt	slik
samarbeid	samarbeid
får	få
.	$.

Men	men
vi	vi
kommer	komme
ikke	ikke
med	med
noen	noen
advarsel	advarsel
på	på
generelt	generell
grunnlag	grunnlag
mot	mot
å	å
samarbeide	samarbeide
med	med
KrF	KrF
,	$,
sier	si
han	han
.	$.

Spent	Spent
på	på
Hareide	Hareide
|	$|

Knut	Knut
Arild	Arild
Hareide	Hareide
har	ha
holdt	holde
kortene	kort
tett	tett
til	til
brystet	bryst
etter	etter
at	at
han	han
ble	bli
valgt	velge
til	til
partileder	partileder
,	$,
og	og
har	ha
ikke	ikke
villet	ville
si	si
noe	noe
om	om
hva	hva
slags	slags
regjeringskoalisjon	regjeringskoalisjon
partiet	parti
vil	ville
inngå	inngå
i	i
før	før
etter	etter
kommunevalget	kommunevalget
i	i
høst	høst
.	$.

Flåthen	Flåthen
er	være
en	en
av	av
mange	mange
som	som
følger	følge
spent	spent
med	med
på	på
hvilken	hvilken
side	side
av	av
gjerdet	gjerde
Hareide	Hareide
til	til
slutt	slutt
faller	falle
ned	ned
på	på
.	$.

-	$-
KrF	KrF
er	være
et	en
borgerlig	borgerlig
parti	parti
,	$,
det	det
nytter	nytte
det	det
ikke	ikke
underkjenne	underkjenne
.	$.

Men	men
samtidig	samtidig
har	ha
de	de
et	en
verdigrunnlag	verdigrunnlag
som	som
vil	ville
gjøre	gjøre
det	det
vanskelig	vanskelig
for	for
dem	de
å	å
samarbeide	samarbeide
med	med
Høyre	Høyre
og	og
Fremskrittspartiet	Fremskrittspartiet
,	$,
sier	si
han	han
.	$.

Rødgrønn	Rødgrønn
krangel	krangel
i	i
Trondheim	Trondheim
|	$|

Alle	alle
vil	ville
med	med
:	$:

Ap	Ap
vil	ville
bygge	bygge
breiest	breiest
mulig	mulig
koalisjon	koalisjon
i	i
Trondheim	Trondheim
,	$,
men	men
småpartiene	småparti
krangler	krangle
så	så
fillene	fillene
fyker	fyker
om	om
hvem	hvem
som	som
skal	skulle
få	få
være	være
med	med
på	på
festen	fest
.	$.

Uenig	Uenig
:	$:

Førstekandidat	Førstekandidat
for	for
Rødt	Rødt
og	og
LO-leder	LO-leder
i	i
Trondheim	Trondheim
,	$,
Arne	Arne
Byrkjeflot	Byrkjeflot
,	$,
er	være
lite	lite
tilfreds	tilfreds
med	med
at	at
LO-leder	LO-leder
Roar	Roar
Flåthen	Flåthen
inviterer	invitere
KrF	KrF
med	med
i	i
rødgrønt	rødgrønt
samarbeid	samarbeid
.	$.

-	$-
En	en
slik	slik
koalisjon	koalisjon
vil	ville
være	være
en	en
tragedie	tragedie
for	for
SV	Sv
,	$,
og	og
det	det
rødgrønne	rødgrønn
prosjektet	prosjekt
vil	ville
miste	miste
sin	sin
tiltrekningskraft	tiltrekningskraft
,	$,
sier	si
han	han
.	$.

Drøye	Drøye
to	to
uker	uke
før	før
kommunevalget	kommunevalget
er	være
det	det
igjen	igjen
dødt	død
løp	løp
mellom	mellom
de	de
rødgrønne	rødgrønn
og	og
de	de
borgerlige	borgerlig
i	i
Trondheim	Trondheim
,	$,
ifølge	ifølge
en	en
måling	måling
i	i
Adresseavisa	Adresseavisa
i	i
går	går
.	$.

Dersom	dersom
målingen	målingen
skulle	skulle
slå	slå
til	til
,	$,
er	være
de	de
rødgrønne	rødgrønn
avhengige	avhengig
av	av
å	å
få	få
med	med
enten	enten
KrF	KrF
eller	eller
Rødt	Rødt
for	for
å	å
bevare	bevare
flertallet	flertall
.	$.

Arbeiderpartiet	Arbeiderpartiet
frir	fri
til	til
de	de
fleste	mange
for	for
å	å
hindre	hindre
at	at
Høyre	Høyre
og	og
Frp	Frp
kommer	komme
til	til
makten	makt
.	$.

De	de
fleste	mange
av	av
småpartiene	småparti
vil	ville
samarbeide	samarbeide
med	med
Ap	Ap
,	$,
men	men
er	være
ikke	ikke
enige	enig
om	om
hvem	hvem
andre	annen
det	det
er	være
som	som
bør	burde
få	få
være	være
med	med
å	og
styre	styre
.	$.

Sentrumssamarbeid	Sentrumssamarbeid
|	$|

Mens	mens
SV	Sv
åpner	åpne
for	for
samarbeid	samarbeid
med	med
KrF	KrF
i	i
Trondheim	Trondheim
,	$,
er	være
ikke	ikke
tonen	tone
fra	fra
«	$"
sentrumskameratene	sentrumskameratene
»	$"
like	like
hjertelig	hjertelig
overfor	overfor
SV	Sv
.	$.

Senterpartiets	Senterpartiet
førstekandidat	førstekandidat
i	i
Trondheim	Trondheim
,	$,
Marte	Marte
Løvik	Løvik
,	$,
ser	se
helst	helst
at	at
SV	Sv
holdes	holde
utenfor	utenfor
styringskoalisjonen	styringskoalisjonen
i	i
Trondheim	Trondheim
.	$.

-	$-
Idealsituasjonen	Idealsituasjonen
for	for
oss	vi
er	være
et	en
samarbeid	samarbeid
med	med
Ap	Ap
,	$,
KrF	KrF
og	og
Venstre	Venstre
,	$,
sier	si
Løvik	Løvik
,	$,
som	som
heller	heller
ikke	ikke
lukker	lukke
døra	dør
for	for
samarbeid	samarbeid
med	med
de	de
borgerlige	borgerlig
.	$.

Hun	hun
understreker	understreke
likevel	likevel
at	at
hun	hun
er	være
fornøyd	fornøyd
med	med
styringskonstellasjonen	styringskonstellasjonen
som	som
den	den
er	være
i	i
dag	dag
,	$,
som	som
er	være
et	en
samarbeid	samarbeid
mellom	mellom
Sp	Sp
,	$,
Ap	Ap
,	$,
SV	Sv
og	og
Miljøpartiet	Miljøpartiet
de	de
Grønne	Grønne
.	$.

Men	men
Løvik	Løvik
legger	legge
ikke	ikke
skjul	skjul
på	på
at	at
hun	hun
mener	mene
det	det
å	å
bytte	bytte
ut	ut
SV	Sv
med	med
KrF	KrF
og	og
Venstre	Venstre
vil	ville
gi	gi
en	en
politikk	politikk
som	som
passer	passe
Senterpartiet	Senterpartiet
bedre	god
.	$.

-	$-
Det	det
vil	ville
nok	nok
gi	gi
en	en
politikk	politikk
som	som
er	være
mer	mye
åpen	åpen
for	for
private	privat
løsninger	løsning
,	$,
sier	si
Løvik	Løvik
.	$.

Sentrumskameraten	Sentrumskameraten
Venstres	Venstre
drøm	drøm
er	være
å	å
styre	styre
sammen	sammen
med	med
Høyre	Høyre
,	$,
KrF	KrF
og	og
Senterpartiet	Senterpartiet
,	$,
men	men
partiet	parti
går	gå
heller	heller
ikke	ikke
av	av
veien	vei
for	for
samarbeid	samarbeid
med	med
Arbeiderpartiet	Arbeiderpartiet
,	$,
så	så
lenge	lenge
sentrumspolitikk	sentrumspolitikk
ligger	ligge
til	til
grunn	grunn
.	$.

-	$-
Det	det
er	være
ikke	ikke
aktuelt	aktuell
å	å
samarbeide	samarbeide
med	med
den	den
sittende	sitte
styringskoalisjonen	styringskoalisjonen
,	$,
så	så
lenge	lenge
SV	Sv
er	være
med	med
og	og
legger	legge
ned	ned
veto	veto
mot	mot
konkurranseutsetting	konkurranseutsetting
av	av
kommunale	kommunal
tjenester	tjeneste
.	$.

Men	men
så	så
lenge	lenge
man	man
styrer	styre
med	med
sentrumspolitikk	sentrumspolitikk
i	i
bunnen	bunn
,	$,
er	være
vi	vi
åpne	åpen
for	for
å	å
samarbeide	samarbeide
med	med
Ap	Ap
,	$,
sier	si
Venstres	Venstre
førstekandidat	førstekandidat
i	i
Trondheim	Trondheim
,	$,
Jon	Jon
Gunnes	Gunnes
.	$.

-	$-
Tragisk	tragisk
for	for
SV	Sv
|	$|

Arne	Arne
Byrkjeflot	Byrkjeflot
,	$,
førstekandidat	førstekandidat
for	for
Rødt	Rødt
og	og
LO-leder	LO-leder
i	i
Trondheim	Trondheim
,	$,
synes	synes
ikke	ikke
noe	noe
om	om
at	at
LO-leder	LO-leder
Roar	Roar
Flåthen	Flåthen
i	i
gårsdagens	gårsdag
Klassekampen	klassekamp
inviterer	invitere
KrF	KrF
med	med
i	i
rødgrønt	rødgrønt
samarbeid	samarbeid
,	$,
både	både
lokalt	lokal
og	og
nasjonalt	nasjonal
.	$.

Han	han
mener	mene
de	de
rødgrønne	rødgrønn
i	i
Trondheim	Trondheim
heller	heller
bør	burde
se	se
mot	mot
venstre	venstre
i	i
jakten	jakt
på	på
nye	ny
samarbeidspartnere	samarbeidspartnere
,	$,
og	og
advarer	advare
mot	mot
at	at
SVs	SV
åpning	åpning
for	for
å	å
samarbeide	samarbeide
med	med
KrF	KrF
vil	ville
ta	ta
entusiasmen	entusiasmen
ut	ut
av	av
det	det
rødgrønne	rødgrønn
prosjektet	prosjekt
.	$.

-	$-
En	en
slik	slik
koalisjon	koalisjon
vil	ville
være	være
en	en
tragedie	tragedie
for	for
SV	Sv
,	$,
og	og
det	det
rødgrønne	rødgrønn
prosjektet	prosjekt
vil	ville
miste	miste
sin	sin
tiltrekningskraft	tiltrekningskraft
.	$.

Prosjektet	prosjekt
fikk	få
voldsom	voldsom
appell	appell
og	og
gjennomslagskraft	gjennomslagskraft
i	i
Trondheim	Trondheim
i	i
2003	2003
fordi	fordi
man	man
ikke	ikke
bare	bare
skulle	skulle
hindre	hindre
Frp	Frp
og	og
Høyre	Høyre
i	i
å	å
gjøre	gjøre
det	det
verre	vond
,	$,
men	men
ta	ta
tilbake	tilbake
tapte	tape
skanser	skanser
og	og
få	få
en	en
ny	ny
politisk	politisk
kurs	kurs
.	$.

Dette	dette
rødgrønne	rødgrønn
prosjektet	prosjekt
har	ha
stanset	stanse
opp	opp
,	$,
både	både
lokalt	lokal
og	og
nasjonalt	nasjonal
.	$.

I	i
lengden	lengde
nytter	nytte
det	det
ikke	ikke
å	å
mobilisere	mobilisere
bare	bare
på	på
at	at
alternativet	alternativ
er	være
så	så
mye	mye
verre	vond
,	$,
sier	si
Byrkjeflot	Byrkjeflot
.	$.

-	$-
Trenger	trenge
ikke	ikke
KrF	KrF
|	$|

Enten	enten
har	ha
dagens	dag
samarbeidspartnere	samarbeidspartnere
hatt	ha
flertall	flertall
alene	alene
,	$,
eller	eller
så	så
har	ha
de	de
hatt	ha
det	det
sammen	sammen
med	med
Rødt	Rødt
,	$,
sier	si
Byrkjeflot	Byrkjeflot
,	$,
som	som
mer	mye
enn	enn
gjerne	gjerne
blir	bli
med	med
på	på
et	en
rødgrønt	rødgrønt
samarbeid	samarbeid
etter	etter
valget	valg
.	$.

-	$-
Rødt	Rødt
er	være
villig	villig
til	til
å	å
gå	gå
inn	inn
i	i
et	en
samarbeid	samarbeid
med	med
budsjettbalanse	budsjettbalanse
,	$,
og	og
et	en
samarbeid	samarbeid
med	med
oss	vi
vil	ville
flytte	flytte
tyngdepunktet	tyngdepunkt
i	i
koalisjonen	koalisjon
til	til
venstre	venstre
,	$,
slik	slik
at	at
vi	vi
holder	holde
trykket	trykk
oppe	oppe
i	i
kampen	kamp
mot	mot
privatisering	privatisering
og	og
konkurranseutsetting	konkurranseutsetting
.	$.

Førstekandidaten	Førstekandidaten
Geirmund	Geirmund
Lykke	Lykke
er	være
ingen	ingen
rødgrønn	rødgrønn
politiker	politiker
,	$,
men	men
er	være
for	for
privatisering	privatisering
,	$,
konkurranseutsetting	konkurranseutsetting
,	$,
salg	salg
av	av
kommunale	kommunal
bedrifter	bedrift
og	og
valgfrihet	valgfrihet
både	både
i	i
skole	skole
og	og
eldreomsorg	eldreomsorg
,	$,
sier	si
Byrkjeflot	Byrkjeflot
.	$.

KrF	KrF
på	på
sin	sin
side	side
,	$,
nevner	nevne
privatisering	privatisering
og	og
salg	salg
av	av
kommunale	kommunal
bedrifter	bedrift
som	som
et	en
av	av
punktene	punktene
det	det
kan	kunne
bli	bli
vanskelig	vanskelig
for	for
KrF	KrF
å	å
samarbeide	samarbeide
med	med
de	de
borgerlige	borgerlig
om	om
,	$,
sammen	sammen
med	med
Miljøpakken	Miljøpakken
som	som
Frp	Frp
går	gå
imot	imot
,	$,
og	og
skjenketida	skjenketida
,	$,
som	som
de	de
borgerlige	borgerlig
vil	ville
utvide	utvide
.	$.

-	$-
Privatiseringspolitikken	Privatiseringspolitikken
er	være
viktig	viktig
for	for
oss	vi
,	$,
og	og
noe	noe
vi	vi
kommer	komme
til	til
å	å
se	se
nøye	nøye
på	på
i	i
eventuelle	eventuell
forhandlinger	forhandling
med	med
de	de
borgerlige	borgerlig
.	$.

Her	her
er	være
vi	vi
opptatt	opptatt
av	av
at	at
gode	god
verdier	verdi
som	som
arbeidstakerrettigheter	arbeidstakerrettigheter
må	måtte
ligge	ligge
i	i
bunn	bunn
,	$,
og	og
vi	vi
vil	ville
ikke	ikke
være	være
med	med
på	på
å	å
selge	selge
ut	ut
kommunale	kommunal
bedrifter	bedrift
,	$,
sier	si
KrFs	KrFs
førstekandidat	førstekandidat
Geirmund	Geirmund
Lykke	Lykke
,	$,
som	som
er	være
klar	klar
på	på
at	at
han	han
i	i
en	en
vippeposisjon	vippeposisjon
først	først
vil	ville
ta	ta
kontakt	kontakt
med	med
de	de
borgerlige	borgerlig
for	for
å	å
drøfte	drøfte
samarbeid	samarbeid
.	$.

SV	Sv
ønsker	ønske
heller	heller
et	en
samarbeid	samarbeid
med	med
Rødt	Rødt
enn	enn
KrF	KrF
,	$,
ifølge	ifølge
varaordfører	varaordfører
og	og
førstekandidat	førstekandidat
for	for
Trondheim	Trondheim
SV	Sv
,	$,
Knut	Knut
Fagerbakke	Fagerbakke
.	$.

Han	han
ønsker	ønske
Rødt	Rødt
velkommen	velkommen
inn	inn
i	i
koalisjonen	koalisjon
,	$,
så	så
lenge	lenge
de	de
går	gå
med	med
på	på
budsjettsamarbeidet	budsjettsamarbeidet
,	$,
men	men
er	være
klar	klar
på	på
at	at
det	det
er	være
Ap	Ap
som	som
stikker	stikke
kjepper	kjepper
i	i
hjulene	hjulene
for	for
et	en
mer	mye
radikalt	radikalt
rødgrønt	rødgrønt
samarbeid	samarbeid
.	$.

-	$-
Det	det
er	være
Ap	Ap
som	som
er	være
bøygen	bøygen
her	her
,	$,
sier	si
Fagerbakke	Fagerbakke
.	$.

Flere	mange
går	gå
til	til
ytre	ytre
høyre	høyre
|	$|

Ber	be
om	om
hjelp	hjelp
:	$:

Etter	etter
22.	22.
juli	juli
bagatelliserte	bagatelliserte
PST	PST
trusselen	trussel
fra	fra
ytre	ytre
høyre	høyre
.	$.

Nå	nå
ønsker	ønske
de	de
mer	mye
informasjon	informasjon
.	$.

«	$"
Trusselen	Trusselen
fra	fra
høyreekstreme	høyreekstrem
miljøer	miljø
i	i
Norge	Norge
er	være
ikke	ikke
endret	endre
etter	etter
terrorhandlingene	terrorhandlingene
.	$.

Terrorhandlingene	Terrorhandlingene
vil	ville
